StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.2,Q1.3,Q1.4,Q3.1,Q4.1,Q7.2,Q7.3_1,Q7.3_2,Q7.3_4,Q7.3_5,Q7.3_6,Q16.2,Q16.3_1,Q16.3_2,Q16.3_3,Q16.3_4,Q16.3_5,Q16.3_10,Q32.2,Q32.3_1,Q32.3_2,Q32.3_4,Q32.3_5,Q32.3_10,Q41.2,Q41.3_1,Q41.3_2,Q41.3_3,Q41.3_4,Q41.3_5,Q41.3_10,Q57.2,Q57.3_9,Q57.3_10,Q57.3_12,Q57.3_13,Q57.3_18,Q66.2,Q66.3_9,Q66.3_10,Q66.3_12,Q66.3_13,Q66.3_18,Q82.2,Q82.3_9,Q82.3_10,Q82.3_12,Q82.3_13,Q82.3_18,Q91.2,Q91.3_9,Q91.3_10,Q91.3_12,Q91.3_13,Q91.3_18,Q107.2,Q107.3_9,Q107.3_10,Q107.3_12,Q107.3_13,Q107.3_18,Q116.2,Q116.3_9,Q116.3_10,Q116.3_12,Q116.3_13,Q116.3_18,Q132.2,Q132.3_17,Q132.3_18,Q132.3_20,Q132.3_21,Q132.3_26,Q141.2,Q141.3_17,Q141.3_18,Q141.3_20,Q141.3_21,Q141.3_26,Q157.2,Q158.2,Random ID,Fail ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"If A is to B, then F is to ____.",Read the following sentence: “They went to the store with ______ dog.” Which word correctly fits the blank space?,Read the following sentences: Which sentence is incorrect?,"Read the following poem. Do all the last words of each line rhyme together?It came in a winter’s night,a fierce cold with quite a bite.Frosted wind with all its strengthsent ice and snow an invite","Read the following poem. Do all the last words of each line rhyme together?

Barely belaboring the billions of bungles,
Listening to the cold, clamorous Cleveland-like clungles,
Within the bowels of the half-hearted, hard-headed hungles,
Judiciously jeering at the jealous jaguars juicy joy jungles, 
She swung the serendipitous swiggles from their silly slow swungles.",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem tells a story.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem tells a story.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",What is the theme of this poem?,"Poem quality - On a scale from 1 (minimum) to 5 (maximum), how poetic does this sound?","Poem quality - On a scale from 1 (incoherent) to 5 (perfect), please rate how grammatical this poem is.","Poem quality - On a scale from 1 to 5, please rate how well this poem conveys emotion.",Poem quality - How many lines does this poem have?,"Poem quality - On a scale from 1 to 5, how likely is it that the following poem was written by a human?",Enter the code above,Enter the code above,Random ID,Fail ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID488""}","{""ImportId"":""QID6""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID33_5""}","{""ImportId"":""QID33_10""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_10""}","{""ImportId"":""QID279""}","{""ImportId"":""QID280_1""}","{""ImportId"":""QID280_2""}","{""ImportId"":""QID280_3""}","{""ImportId"":""QID280_4""}","{""ImportId"":""QID280_5""}","{""ImportId"":""QID280_10""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_9""}","{""ImportId"":""QID42_10""}","{""ImportId"":""QID42_12""}","{""ImportId"":""QID42_13""}","{""ImportId"":""QID42_18""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145_9""}","{""ImportId"":""QID145_10""}","{""ImportId"":""QID145_12""}","{""ImportId"":""QID145_13""}","{""ImportId"":""QID145_18""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187_9""}","{""ImportId"":""QID187_10""}","{""ImportId"":""QID187_12""}","{""ImportId"":""QID187_13""}","{""ImportId"":""QID187_18""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214_9""}","{""ImportId"":""QID214_10""}","{""ImportId"":""QID214_12""}","{""ImportId"":""QID214_13""}","{""ImportId"":""QID214_18""}","{""ImportId"":""QID261""}","{""ImportId"":""QID262_9""}","{""ImportId"":""QID262_10""}","{""ImportId"":""QID262_12""}","{""ImportId"":""QID262_13""}","{""ImportId"":""QID262_18""}","{""ImportId"":""QID360""}","{""ImportId"":""QID361_9""}","{""ImportId"":""QID361_10""}","{""ImportId"":""QID361_12""}","{""ImportId"":""QID361_13""}","{""ImportId"":""QID361_18""}","{""ImportId"":""QID408""}","{""ImportId"":""QID409_17""}","{""ImportId"":""QID409_18""}","{""ImportId"":""QID409_20""}","{""ImportId"":""QID409_21""}","{""ImportId"":""QID409_26""}","{""ImportId"":""QID435""}","{""ImportId"":""QID436_17""}","{""ImportId"":""QID436_18""}","{""ImportId"":""QID436_20""}","{""ImportId"":""QID436_21""}","{""ImportId"":""QID436_26""}","{""ImportId"":""QID497_TEXT""}","{""ImportId"":""QID498_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""Fail ID""}"
2022-01-01 10:06:03,2022-01-01 10:07:17,IP Address,170.39.186.70,100,74,True,2022-01-01 10:07:18,R_3ZTLHeuqYkkn2md,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,1,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,67490,102
2022-01-01 10:05:51,2022-01-01 10:08:05,IP Address,170.39.186.160,100,134,True,2022-01-01 10:08:05,R_1DGVtt7cUI09pg9,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,1,G,None of the above,The men goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,10148,66
2022-01-01 10:07:21,2022-01-01 10:10:40,IP Address,170.39.186.70,100,199,True,2022-01-01 10:10:40,R_2PnYpjufMabObmh,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,1,G,None of the above,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,72685,8
2022-01-01 10:01:31,2022-01-01 10:21:52,IP Address,66.118.4.0,100,1221,True,2022-01-01 10:21:52,R_2SqRNp1vGgAldiQ,,,,,42.75140380859375,-71.5785980224609375,anonymous,EN,1,G,Their,The men goes to school every day.,No,No,Darkness,3,2,4,4,3,Wisdom,3,4,3,4,4,4,Wisdom,3,4,3,4,3,Love,3,4,3,3,4,4,Wisdom,4,4,3,4,3,Darkness,3,4,3,4,3,Wisdom,3,4,3,4,4,Death,4,4,3,4,3,Forest,4,4,4,4,4,Love,4,3,4,4,3,Forest,3,4,3,4,4,Love,4,3,4,4,3,16529,,16529,120
2022-01-01 10:08:27,2022-01-01 10:23:56,IP Address,107.77.218.138,100,929,True,2022-01-01 10:23:57,R_sZnMiLTjmuUvFoR,,,,,29.7754058837890625,-95.59799957275390625,anonymous,EN,0.699999988079071044921875,G,Their,The men goes to school every day.,No,Yes,Forest,5,4,1,4,5,Death,3,3,4,2,4,5,Other,2,3,4,4,3,Other,1,1,3,1,4,2,Forest,2,4,1,5,5,Death,3,3,1,5,3,Other,1,3,1,4,3,Death,2,3,2,4,5,Forest,3,3,1,4,5,Death,1,1,1,4,5,Other,2,3,3,4,3,Other,3,2,2,5,1,50847,,50847,144
2022-01-01 10:13:46,2022-01-01 10:24:32,IP Address,192.180.12.203,100,645,True,2022-01-01 10:24:32,R_1owpFoHUNv3sSPE,,,,,41.12359619140625,-83.1819000244140625,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Forest,3,4,3,4,4,Other,3,3,4,3,4,3,Other,3,4,3,4,4,Other,3,4,3,2,4,3,Forest,4,2,3,4,4,Death,4,3,4,4,3,Other,4,3,3,4,2,Death,4,3,4,4,3,Forest,3,4,4,4,4,Other,4,3,3,4,2,Love,4,3,4,4,4,Other,4,3,4,4,3,51521,,51521,123
2022-01-01 10:11:07,2022-01-01 10:27:01,IP Address,154.13.48.31,100,954,True,2022-01-01 10:27:01,R_1KcZnZ9pZymquzg,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,G,Their,The men goes to school every day.,Yes,Yes,Forest,4,4,4,4,4,Wisdom,4,4,4,4,4,4,Love,4,3,4,4,4,Death,4,4,4,4,4,5,Forest,4,4,4,4,5,Death,3,4,4,4,3,Forest,4,4,5,4,5,Death,4,4,4,4,4,Forest,5,5,5,4,5,Love,4,4,5,4,4,Love,4,4,4,4,4,Forest,4,4,4,4,4,"29164 ",,29164,60
2022-01-01 10:01:08,2022-01-01 10:28:51,IP Address,172.107.203.6,100,1662,True,2022-01-01 10:28:51,R_3Gy2vfBSPR7BWJm,,,,,32.8137054443359375,-96.87039947509765625,anonymous,EN,1,G,Their,The men goes to school every day.,Yes,Yes,Forest,4,4,5,4,5,Darkness,4,4,5,4,4,5,Death,3,3,4,4,2,Love,3,4,4,4,4,3,Forest,4,3,4,4,4,Death,5,5,4,4,4,Wisdom,3,3,4,4,2,Death,3,3,4,4,4,Forest,4,4,4,4,1,Love,5,5,5,4,3,Wisdom,3,3,3,4,4,Love,4,4,4,4,4,19060,,19060,83
